Parcel,Number,Ext,Dir,Street,Suffix,City,ZipCode,Subdivision,PlattedFrontage,MappedSQFT,ApproxTotal,UGDistrict
99807,3121,R,,KIMBALL,AVE,KANSAS CITY,66104,LELAND PLACE ANNEX,0,"7,527.97",140,1
99801,3017,,,KIMBALL,AVE,KANSAS CITY,66104,LELAND PLACE ANNEX,154.3,"20,932.71",410,1
99800,2910,,N,31ST,ST,KANSAS CITY,66104,LELAND PLACE ANNEX,40,"4,772.85",240,1
99621,2829,,N,31ST,ST,KANSAS CITY,66104,HAYNES SUB,100,"21,266.06",210,1
99405,2744,,,KIMBALL,AVE,KANSAS CITY,66104,COXS RES,0,"14,789.98",180,1
99314,3005,,N,31ST,ST,KANSAS CITY,66104,LELAND PLACE,50,"6,503.69","12,120.00",1
99292,3000,,N,31ST,ST,KANSAS CITY,66104,LELAND PLACE,75,"8,688.19",290,1
99286,3026,,N,31ST,ST,KANSAS CITY,66104,LELAND PLACE,50,"5,549.99",260,1
98965,1925,,N,13TH,ST,KANSAS CITY,66104,ASHLEY PLACE,25,"2,860.16",210,4
98958,1916,,N,13TH,ST,KANSAS CITY,66104,ASHLEY PLACE,51.75,"6,513.59",270,4
98957,1912,,N,13TH,ST,KANSAS CITY,66104,ASHLEY PLACE,25.75,"2,996.75",210,4
98956,1910,,N,13TH,ST,KANSAS CITY,66104,ASHLEY PLACE,31.25,"4,016.37",230,4
98955,1908,,N,13TH,ST,KANSAS CITY,66104,ASHLEY PLACE,31.25,"3,743.93",230,4
98954,1906,,N,13TH,ST,KANSAS CITY,66104,ASHLEY PLACE,31.25,"3,557.39",220,4
98951,1838,,N,13TH,ST,KANSAS CITY,66104,ASHLEY PLACE,27.5,"3,448.36",220,4
98950,1836,,N,13TH,ST,KANSAS CITY,66104,ASHLEY PLACE,33.33,"3,994.20",230,4
98949,1832,,N,13TH,ST,KANSAS CITY,66104,ASHLEY PLACE,33.33,"4,438.56",240,4
98947,1828,,N,13TH,ST,KANSAS CITY,66104,ASHLEY PLACE,50,"5,982.99",260,4
98946,1824,,N,13TH,ST,KANSAS CITY,66104,ASHLEY PLACE,27.5,"3,517.48","3,020.00",4
98924,1823,,N,13TH,ST,KANSAS CITY,66104,ASHLEY PLACE,27.5,"3,403.59",220,4
98913,1901,,N,13TH,ST,KANSAS CITY,66104,ASHLEY PLACE,52.5,"6,325.29",270,4
98912,1905,,N,13TH,ST,KANSAS CITY,66104,ASHLEY PLACE,50,"5,874.47",260,4
98911,1909,,N,13TH,ST,KANSAS CITY,66104,ASHLEY PLACE,25,"2,975.85",210,4
98910,1911,,N,13TH,ST,KANSAS CITY,66104,ASHLEY PLACE,25,"3,105.41",220,4
98742,1706,,,FREEMAN,AVE,KANSAS CITY,66102,HOWELL HEIGHTS,40,"4,804.88",240,4
